time,count
7.18704,1.20E+01
7.20657,1.70E+01
7.2261,1.60E+01
7.24563,1.10E+01
7.26516,1.50E+01
7.28469,1.00E+01
7.30422,1.40E+01
7.32375,1.20E+01
7.34328,1.40E+01
7.36281,1.10E+01
7.38234,1.40E+01
7.40187,1.20E+01
7.4214,1.60E+01
7.44093,1.60E+01
7.46046,9.00E+00
7.47999,1.40E+01
7.49952,1.50E+01
7.51905,1.30E+01
7.53858,1.30E+01
7.55811,1.40E+01
7.57764,1.90E+01
7.59717,1.20E+01
7.6167,5.00E+00
7.63623,1.40E+01
7.65576,1.40E+01
7.67529,1.60E+01
7.69482,1.00E+01
7.71435,1.10E+01
7.73388,1.10E+01
7.75341,8.00E+00
7.77294,8.00E+00
7.79247,1.70E+01
7.812,1.00E+01
7.83153,8.00E+00
7.85106,1.50E+01
7.87059,1.20E+01
7.89012,1.40E+01
7.90965,1.00E+01
7.92918,1.00E+01
7.94871,1.80E+01
7.96824,6.00E+00
7.98777,1.00E+01
8.0073,1.20E+01
8.02683,1.10E+01
8.04636,9.00E+00
8.06589,1.10E+01
8.08542,1.30E+01
8.10495,1.30E+01
8.12448,9.00E+00
8.14401,1.30E+01
8.16354,1.10E+01
8.18307,8.00E+00
8.2026,1.10E+01
8.22213,8.00E+00
8.24166,1.40E+01
8.26119,1.20E+01
8.28072,6.00E+00
8.30025,9.00E+00
8.31978,9.00E+00
8.33931,1.20E+01
8.35884,9.00E+00
8.37837,5.00E+00
8.3979,5.00E+00
8.41743,1.40E+01
8.43696,1.20E+01
8.45649,4.00E+00
8.47602,1.20E+01
8.49555,1.00E+01
8.51508,1.20E+01
8.53461,9.00E+00
8.55414,6.00E+00
8.57367,1.20E+01
8.5932,9.00E+00
8.61273,1.00E+01
8.63226,1.00E+01
8.65179,5.00E+00
8.67132,6.00E+00
8.69085,1.10E+01
8.71038,7.00E+00
8.72991,8.00E+00
8.74944,1.10E+01
8.76897,9.00E+00
8.7885,1.60E+01
8.80803,7.00E+00
8.82756,1.50E+01
8.84709,1.60E+01
8.86662,5.00E+00
8.88615,1.20E+01
8.90568,8.00E+00
8.92521,8.00E+00
8.94474,7.00E+00
8.96427,1.10E+01
8.9838,1.00E+01
9.00333,6.00E+00
9.02286,1.30E+01
9.04239,1.10E+01
9.06192,1.10E+01
9.08145,9.00E+00
9.10098,3.00E+00
9.12051,1.10E+01
9.14004,8.00E+00
9.15957,1.10E+01
9.1791,1.00E+01
9.19863,9.00E+00
9.21816,3.00E+00
9.23769,5.00E+00
9.25722,1.20E+01
9.27675,9.00E+00
9.29628,1.00E+01
9.31581,1.30E+01
9.33534,7.00E+00
9.35487,8.00E+00
9.3744,1.10E+01
