V_1,I_1,V_2,I_2,V_3,I_3,V_4,I_4
-0.344238281,-3.17383E-06,-0.344238281,-3.16315E-06,-0.344238281,-3.15979E-06,-0.344238281,-3.41644E-06
-0.346679688,-3.16284E-06,-0.346679688,-3.1543E-06,-0.346679688,-3.15216E-06,-0.346679688,-3.41156E-06
-0.349121094,-3.15002E-06,-0.349121094,-3.14636E-06,-0.349121094,-3.14514E-06,-0.349121094,-3.40637E-06
-0.3515625,-3.13934E-06,-0.3515625,-3.13782E-06,-0.3515625,-3.13812E-06,-0.3515625,-3.4021E-06
-0.354003906,-3.12622E-06,-0.354003906,-3.12744E-06,-0.354003906,-3.13171E-06,-0.354003906,-3.39569E-06
-0.356445313,-3.11462E-06,-0.356445313,-3.11859E-06,-0.356445313,-3.12469E-06,-0.356445313,-3.39203E-06
-0.358886719,-3.10211E-06,-0.358886719,-3.10913E-06,-0.358886719,-3.11829E-06,-0.358886719,-3.38654E-06
-0.361328125,-3.0899E-06,-0.361328125,-3.09845E-06,-0.361328125,-3.11157E-06,-0.361328125,-3.38226E-06
-0.363769531,-3.07831E-06,-0.363769531,-3.08838E-06,-0.363769531,-3.10181E-06,-0.363769531,-3.37494E-06
-0.366210938,-3.0661E-06,-0.366210938,-3.07831E-06,-0.366210938,-3.09296E-06,-0.366210938,-3.37097E-06
-0.368652344,-3.05481E-06,-0.368652344,-3.06885E-06,-0.368652344,-3.08502E-06,-0.368652344,-3.36548E-06
-0.37109375,-3.04352E-06,-0.37109375,-3.05817E-06,-0.37109375,-3.07495E-06,-0.37109375,-3.35846E-06
-0.373535156,-3.03192E-06,-0.373535156,-3.04688E-06,-0.373535156,-3.0658E-06,-0.373535156,-3.35083E-06
-0.375976563,-3.02063E-06,-0.375976563,-3.03558E-06,-0.375976563,-3.05847E-06,-0.375976563,-3.34259E-06
-0.378417969,-3.00903E-06,-0.378417969,-3.0249E-06,-0.378417969,-3.05023E-06,-0.378417969,-3.33527E-06
-0.380859375,-2.99927E-06,-0.380859375,-3.01483E-06,-0.380859375,-3.04169E-06,-0.380859375,-3.32611E-06
-0.383300781,-2.98706E-06,-0.383300781,-3.00201E-06,-0.383300781,-3.03253E-06,-0.383300781,-3.32031E-06
-0.385742188,-2.97485E-06,-0.385742188,-2.99347E-06,-0.385742188,-3.02399E-06,-0.385742188,-3.31055E-06
-0.388183594,-2.96356E-06,-0.388183594,-2.98248E-06,-0.388183594,-3.01514E-06,-0.388183594,-3.30383E-06
-0.390625,-2.95105E-06,-0.390625,-2.97241E-06,-0.390625,-3.00629E-06,-0.390625,-3.29803E-06
-0.393066406,-2.93793E-06,-0.393066406,-2.96112E-06,-0.393066406,-2.99713E-06,-0.393066406,-3.28918E-06
-0.395507813,-2.92664E-06,-0.395507813,-2.95074E-06,-0.395507813,-2.98553E-06,-0.395507813,-3.28156E-06
-0.397949219,-2.91534E-06,-0.397949219,-2.93915E-06,-0.397949219,-2.97607E-06,-0.397949219,-3.27393E-06
-0.400390625,-2.90375E-06,-0.400390625,-2.92816E-06,-0.400390625,-2.96509E-06,-0.400390625,-3.26599E-06
-0.402832031,-2.89276E-06,-0.402832031,-2.91748E-06,-0.402832031,-2.95532E-06,-0.402832031,-3.25836E-06
-0.405273438,-2.88177E-06,-0.405273438,-2.90619E-06,-0.405273438,-2.94373E-06,-0.405273438,-3.24646E-06
-0.407714844,-2.87109E-06,-0.407714844,-2.89368E-06,-0.407714844,-2.93396E-06,-0.407714844,-3.23792E-06
-0.41015625,-2.86163E-06,-0.41015625,-2.88208E-06,-0.41015625,-2.92389E-06,-0.41015625,-3.22693E-06
-0.412597656,-2.85156E-06,-0.412597656,-2.87018E-06,-0.412597656,-2.9129E-06,-0.412597656,-3.21686E-06
-0.415039063,-2.84027E-06,-0.415039063,-2.85919E-06,-0.415039063,-2.90161E-06,-0.415039063,-3.20526E-06
-0.417480469,-2.82959E-06,-0.417480469,-2.84729E-06,-0.417480469,-2.89154E-06,-0.417480469,-3.19519E-06
-0.419921875,-2.81952E-06,-0.419921875,-2.83661E-06,-0.419921875,-2.88239E-06,-0.419921875,-3.18604E-06
-0.422363281,-2.80823E-06,-0.422363281,-2.82593E-06,-0.422363281,-2.8717E-06,-0.422363281,-3.17535E-06
-0.424804688,-2.79663E-06,-0.424804688,-2.81586E-06,-0.424804688,-2.86255E-06,-0.424804688,-3.1665E-06
-0.427246094,-2.78687E-06,-0.427246094,-2.8064E-06,-0.427246094,-2.85126E-06,-0.427246094,-3.15765E-06
-0.4296875,-2.7771E-06,-0.4296875,-2.79755E-06,-0.4296875,-2.84149E-06,-0.4296875,-3.14819E-06
-0.432128906,-2.76764E-06,-0.432128906,-2.78595E-06,-0.432128906,-2.83203E-06,-0.432128906,-3.14087E-06
-0.434570313,-2.75818E-06,-0.434570313,-2.77618E-06,-0.434570313,-2.82166E-06,-0.434570313,-3.13019E-06
-0.437011719,-2.74841E-06,-0.437011719,-2.76764E-06,-0.437011719,-2.81158E-06,-0.437011719,-3.11981E-06
-0.439453125,-2.74048E-06,-0.439453125,-2.75665E-06,-0.439453125,-2.80029E-06,-0.439453125,-3.11096E-06
-0.441894531,-2.73193E-06,-0.441894531,-2.74689E-06,-0.441894531,-2.78931E-06,-0.441894531,-3.10059E-06
-0.444335938,-2.72491E-06,-0.444335938,-2.73651E-06,-0.444335938,-2.77954E-06,-0.444335938,-3.0896E-06
-0.446777344,-2.71667E-06,-0.446777344,-2.72583E-06,-0.446777344,-2.76978E-06,-0.446777344,-3.08044E-06
-0.44921875,-2.70874E-06,-0.44921875,-2.71759E-06,-0.44921875,-2.76215E-06,-0.44921875,-3.06976E-06
-0.451660156,-2.70111E-06,-0.451660156,-2.70935E-06,-0.451660156,-2.7536E-06,-0.451660156,-3.05908E-06
