t,I
0.279412499,1.56311
0.279303492,1.56616
0.279194613,1.56281
0.279085861,1.56342
0.278977236,1.56403
0.278868737,1.56067
0.278760366,1.56433
0.27865212,1.56067
0.278544001,1.56067
0.278436007,1.56128
0.278328138,1.55792
0.278220395,1.56097
0.278112777,1.55792
0.278005284,1.55853
0.277897916,1.55914
0.277790671,1.55518
0.277683551,1.55914
0.277576554,1.55518
0.277469682,1.55579
0.277362932,1.5564
0.277256306,1.55304
0.277149802,1.5567
0.277043421,1.55304
0.276937163,1.55396
0.276831026,1.55457
0.276725012,1.54999
0.276619119,1.55457
0.276513348,1.55029
0.276407698,1.55151
0.276302169,1.55243
0.276196761,1.54877
0.276091473,1.55121
0.275986306,1.54846
0.275881259,1.54816
0.275776332,1.54999
0.275671524,1.54602
0.275566836,1.54907
0.275462266,1.54633
0.275357816,1.54633
0.275253485,1.54755
0.275149272,1.54388
0.275045177,1.54694
0.2749412,1.54419
0.274837342,1.54388
0.2747336,1.5448
0.274629977,1.54144
0.27452647,1.54449
0.27442308,1.54114
0.274319807,1.54205
0.274216651,1.54266
0.274113611,1.539
0.274010686,1.54205
0.273907878,1.539
0.273805186,1.539
0.273702608,1.54053
0.273600146,1.53687
0.273497799,1.53992
0.273395567,1.53656
0.273293449,1.53717
0.273191446,1.53839
0.273089557,1.53473
0.272987781,1.53839
0.27288612,1.53442
0.272784572,1.53503
0.272683137,1.53595
0.272581815,1.53259
0.272480606,1.53595
0.27237951,1.53229
0.272278526,1.53229
0.272177655,1.53351
0.272076895,1.53015
0.271976247,1.53351
0.271875711,1.52954
0.271775286,1.53076
0.271674973,1.53137
0.27157477,1.5274
0.271474679,1.53076
0.271374698,1.52771
0.271274827,1.52832
0.271175066,1.52893
0.271075416,1.52588
0.270975875,1.52893
0.270876444,1.52557
0.270777122,1.52588
0.270677909,1.52679
0.270578806,1.52344
0.270479811,1.52679
0.270380924,1.52283
0.270282146,1.52344
0.270183476,1.52466
0.270084915,1.521
0.269986461,1.52435
0.269888114,1.52069
0.269789875,1.5213
0.269691743,1.52252
0.269593718,1.51886
0.2694958,1.52222
0.269397989,1.51917
0.269300284,1.51917
0.269202685,1.52039
0.269105193,1.51703
0.269007806,1.51978
0.268910524,1.51672
0.268813349,1.51794
0.268716278,1.51733
0.268619313,1.51459
0.268522452,1.51794
0.268425697,1.51459
0.268329045,1.51459
0.268232498,1.51581
0.268136056,1.51245
0.268039717,1.5155
0.267943482,1.51245
0.26784735,1.51337
0.267751322,1.51367
0.267655397,1.51031
0.267559575,1.51337
0.267463856,1.51062
0.26736824,1.51093
0.267272726,1.51123
0.267177314,1.50818
0.267082005,1.51123
0.266986797,1.50848
0.266891691,1.50909
0.266796687,1.5094
0.266701784,1.50574
0.266606982,1.5094
0.266512282,1.50574
0.266417682,1.50696
0.266323182,1.50757
0.266228784,1.5036
0.266134485,1.50757
0.266040287,1.50452
0.265946189,1.50421
0.26585219,1.50574
0.265758291,1.50177
0.265664492,1.50513
0.265570792,1.50177
0.265477191,1.50269
0.265383688,1.50299
0.265290285,1.49963
0.26519698,1.5033
0.265103773,1.49933
0.265010665,1.50024
0.264917654,1.50085
0.264824742,1.49811
0.264731927,1.50146
0.26463921,1.49811
0.26454659,1.49902
0.264454067,1.49902
0.264361641,1.49628
0.264269312,1.49872
0.26417708,1.49628
0.264084944,1.49689
0.263992905,1.49719
0.263900962,1.49414
0.263809114,1.4975
0.263717363,1.49384
0.263625707,1.49506
0.263534147,1.49475
0.263442682,1.49261
0.263351312,1.49536
0.263260038,1.492
0.263168858,1.49261
0.263077772,1.49292
0.262986782,1.48987
0.262895885,1.49292
0.262805083,1.49048
0.262714375,1.49048
0.262623761,1.49109
0.26253324,1.48804
0.262442813,1.49048
0.262352479,1.48773
0.262262239,1.48834
0.262172091,1.48895
0.262082037,1.4856
0.261992075,1.48895
0.261902206,1.4859
0.261812429,1.48712
