V_2,I_2,V_3,I_3
0.556640625,2.18903E-06,0.556640625,1.60583E-06
0.554199219,2.15729E-06,0.554199219,1.58386E-06
0.551757813,2.12555E-06,0.551757813,1.56311E-06
0.549316406,2.09595E-06,0.549316406,1.54388E-06
0.546875,2.06757E-06,0.546875,1.52588E-06
0.544433594,2.03979E-06,0.544433594,1.50879E-06
0.541992188,2.01355E-06,0.541992188,1.49292E-06
0.539550781,1.98853E-06,0.539550781,1.47797E-06
0.537109375,1.96503E-06,0.537109375,1.46393E-06
0.534667969,1.94244E-06,0.534667969,1.45081E-06
0.532226563,1.92078E-06,0.532226563,1.4389E-06
0.529785156,1.90094E-06,0.529785156,1.42822E-06
0.52734375,1.8808E-06,0.52734375,1.41724E-06
0.524902344,1.86249E-06,0.524902344,1.40808E-06
0.522460938,1.84418E-06,0.522460938,1.39893E-06
0.520019531,1.82709E-06,0.520019531,1.39069E-06
0.517578125,1.8103E-06,0.517578125,1.38275E-06
0.515136719,1.79382E-06,0.515136719,1.37512E-06
0.512695313,1.77734E-06,0.512695313,1.36749E-06
0.510253906,1.76208E-06,0.510253906,1.36078E-06
0.5078125,1.74713E-06,0.5078125,1.35345E-06
0.505371094,1.73157E-06,0.505371094,1.34674E-06
0.502929688,1.71753E-06,0.502929688,1.34003E-06
0.500488281,1.70441E-06,0.500488281,1.33301E-06
0.498046875,1.69128E-06,0.498046875,1.32721E-06
0.495605469,1.67847E-06,0.495605469,1.32141E-06
0.493164063,1.66656E-06,0.493164063,1.31592E-06
0.490722656,1.65466E-06,0.490722656,1.31012E-06
0.48828125,1.64337E-06,0.48828125,1.30493E-06
0.485839844,1.63208E-06,0.485839844,1.29974E-06
0.483398438,1.62109E-06,0.483398438,1.29456E-06
0.480957031,1.6098E-06,0.480957031,1.28937E-06
0.478515625,1.59912E-06,0.478515625,1.28418E-06
0.476074219,1.58844E-06,0.476074219,1.27869E-06
0.473632813,1.57776E-06,0.473632813,1.27319E-06
0.471191406,1.56738E-06,0.471191406,1.2677E-06
0.46875,1.5567E-06,0.46875,1.26221E-06
0.466308594,1.54633E-06,0.466308594,1.2561E-06
0.463867188,1.53687E-06,0.463867188,1.25061E-06
0.461425781,1.52771E-06,0.461425781,1.24481E-06
0.458984375,1.51825E-06,0.458984375,1.23932E-06
0.456542969,1.5097E-06,0.456542969,1.23383E-06
0.454101563,1.50146E-06,0.454101563,1.22833E-06
0.451660156,1.49231E-06,0.451660156,1.22314E-06
0.44921875,1.48346E-06,0.44921875,1.21765E-06
0.446777344,1.47522E-06,0.446777344,1.21185E-06
0.444335938,1.46667E-06,0.444335938,1.20667E-06
0.441894531,1.45752E-06,0.441894531,1.20026E-06
0.439453125,1.44867E-06,0.439453125,1.19324E-06
0.437011719,1.44012E-06,0.437011719,1.18713E-06
0.434570313,1.43097E-06,0.434570313,1.18011E-06
0.432128906,1.42212E-06,0.432128906,1.17279E-06
0.4296875,1.41388E-06,0.4296875,1.16577E-06
0.427246094,1.40564E-06,0.427246094,1.15753E-06
0.424804688,1.39771E-06,0.424804688,1.15021E-06
0.422363281,1.38855E-06,0.422363281,1.14227E-06
0.419921875,1.38123E-06,0.419921875,1.13434E-06
0.417480469,1.3736E-06,0.417480469,1.12579E-06
0.415039063,1.36566E-06,0.415039063,1.11725E-06
0.412597656,1.35773E-06,0.412597656,1.10779E-06
0.41015625,1.34949E-06,0.41015625,1.09802E-06
0.407714844,1.34064E-06,0.407714844,1.08826E-06
0.405273438,1.33179E-06,0.405273438,1.07697E-06
0.402832031,1.32294E-06,0.402832031,1.06537E-06
0.400390625,1.31378E-06,0.400390625,1.05225E-06
0.397949219,1.30554E-06,0.397949219,1.03851E-06
