V_KCl,I_KCl
0.256347656,-1.82281E-07
0.25390625,-1.86523E-07
0.251464844,-1.90643E-07
0.249023438,-1.93512E-07
0.246582031,-1.96747E-07
0.244140625,-2.005E-07
0.241699219,-2.04651E-07
0.239257813,-2.08435E-07
0.236816406,-2.13043E-07
0.234375,-2.17621E-07
0.231933594,-2.22229E-07
0.229492188,-2.27631E-07
0.227050781,-2.32849E-07
0.224609375,-2.38098E-07
0.222167969,-2.42401E-07
0.219726563,-2.47192E-07
0.217285156,-2.51556E-07
0.21484375,-2.55615E-07
0.212402344,-2.59796E-07
0.209960938,-2.64526E-07
0.207519531,-2.69531E-07
0.205078125,-2.74872E-07
0.202636719,-2.79907E-07
0.200195313,-2.84882E-07
0.197753906,-2.9129E-07
0.1953125,-2.966E-07
0.192871094,-3.0249E-07
0.190429688,-3.08929E-07
0.187988281,-3.14789E-07
0.185546875,-3.20435E-07
0.183105469,-3.25653E-07
0.180664063,-3.31543E-07
0.178222656,-3.36792E-07
0.17578125,-3.42316E-07
0.173339844,-3.479E-07
0.170898438,-3.5437E-07
0.168457031,-3.61145E-07
0.166015625,-3.68774E-07
0.163574219,-3.75061E-07
0.161132813,-3.83148E-07
0.158691406,-3.90778E-07
0.15625,-3.98224E-07
0.153808594,-4.05518E-07
0.151367188,-4.133E-07
0.148925781,-4.20746E-07
0.146484375,-4.28162E-07
0.144042969,-4.35028E-07
0.141601563,-4.42963E-07
0.139160156,-4.50745E-07
0.13671875,-4.59595E-07
0.134277344,-4.67834E-07
0.131835938,-4.77905E-07
0.129394531,-4.87366E-07
0.126953125,-4.97437E-07
0.124511719,-5.07202E-07
0.122070313,-5.18799E-07
0.119628906,-5.2887E-07
0.1171875,-5.40161E-07
0.114746094,-5.50842E-07
0.112304688,-5.62134E-07
0.109863281,-5.7251E-07
0.107421875,-5.83801E-07
0.104980469,-5.95703E-07
0.102539063,-6.08521E-07
0.100097656,-6.21948E-07
0.09765625,-6.35376E-07
0.095214844,-6.49719E-07
0.092773438,-6.64063E-07
0.090332031,-6.79321E-07
0.087890625,-6.96106E-07
0.085449219,-7.1167E-07
0.083007813,-7.2876E-07
0.080566406,-7.4646E-07
0.078125,-7.63855E-07
0.075683594,-7.82166E-07
0.073242188,-8.00781E-07
0.070800781,-8.19092E-07
0.068359375,-8.40149E-07
0.065917969,-8.60901E-07
0.063476563,-8.84094E-07
0.061035156,-9.07593E-07
0.05859375,-9.32312E-07
0.056152344,-9.56726E-07
0.053710938,-9.84497E-07
0.051269531,-1.01166E-06
0.048828125,-1.04004E-06
0.046386719,-1.07025E-06
0.043945313,-1.10016E-06
0.041503906,-1.13068E-06
0.0390625,-1.16394E-06
0.036621094,-1.19781E-06
0.034179688,-1.23413E-06
0.031738281,-1.27045E-06
0.029296875,-1.31012E-06
0.026855469,-1.35071E-06
0.024414063,-1.39435E-06
0.021972656,-1.43738E-06
0.01953125,-1.48376E-06
0.017089844,-1.53015E-06
0.014648438,-1.5799E-06
0.012207031,-1.62964E-06
0.009765625,-1.68091E-06
0.007324219,-1.73462E-06
0.004882813,-1.78955E-06
0.002441406,-1.8454E-06
0,-1.90399E-06
