V,I
0.727233887,-1.32996E-06
0.72479248,-1.36139E-06
0.722351074,-1.40167E-06
0.719909668,-1.42883E-06
0.717468262,-1.47491E-06
0.715026855,-1.50299E-06
0.712585449,-1.5506E-06
0.710144043,-1.58325E-06
0.707702637,-1.63116E-06
0.70526123,-1.66748E-06
0.702819824,-1.71417E-06
0.700378418,-1.75323E-06
0.697937012,-1.80176E-06
0.695495605,-1.84418E-06
0.693054199,-1.8927E-06
0.690612793,-1.94031E-06
0.688171387,-1.98761E-06
0.68572998,-2.04254E-06
0.683288574,-2.08466E-06
0.680847168,-2.14539E-06
0.678405762,-2.19482E-06
0.675964355,-2.25372E-06
0.673522949,-2.30011E-06
0.671081543,-2.36725E-06
0.668640137,-2.41943E-06
0.66619873,-2.48352E-06
0.663757324,-2.54242E-06
0.661315918,-2.61108E-06
0.658874512,-2.67517E-06
0.656433105,-2.73407E-06
0.653991699,-2.80548E-06
0.651550293,-2.86743E-06
0.649108887,-2.94464E-06
0.64666748,-3.01025E-06
0.644226074,-3.08563E-06
0.641784668,-3.1543E-06
0.639343262,-3.23486E-06
0.636901855,-3.30261E-06
0.634460449,-3.38348E-06
0.632019043,-3.45825E-06
0.629577637,-3.5376E-06
0.62713623,-3.61694E-06
0.624694824,-3.69781E-06
0.622253418,-3.78265E-06
0.619812012,-3.86444E-06
0.617370605,-3.95111E-06
0.614929199,-4.02802E-06
0.612487793,-4.1153E-06
0.610046387,-4.19861E-06
0.60760498,-4.28802E-06
0.605163574,-4.36371E-06
0.602722168,-4.45404E-06
0.600280762,-4.52942E-06
0.597839355,-4.61731E-06
0.595397949,-4.69666E-06
0.592956543,-4.776E-06
0.590515137,-4.85535E-06
0.58807373,-4.93164E-06
0.585632324,-5.01099E-06
0.583190918,-5.07813E-06
0.580749512,-5.15442E-06
0.578308105,-5.21851E-06
0.575866699,-5.28564E-06
0.573425293,-5.34363E-06
0.570983887,-5.40466E-06
0.56854248,-5.45654E-06
0.566101074,-5.51147E-06
0.563659668,-5.5542E-06
0.561218262,-5.59998E-06
0.558776855,-5.6366E-06
0.556335449,-5.67322E-06
0.553894043,-5.70068E-06
0.551452637,-5.7251E-06
0.54901123,-5.75256E-06
0.546569824,-5.76782E-06
0.544128418,-5.78003E-06
0.541687012,-5.78613E-06
0.539245605,-5.79224E-06
0.536804199,-5.78918E-06
0.534362793,-5.78918E-06
0.531921387,-5.77698E-06
0.52947998,-5.77087E-06
0.527038574,-5.75562E-06
0.524597168,-5.74036E-06
0.522155762,-5.72205E-06
0.519714355,-5.70679E-06
0.517272949,-5.68237E-06
0.514831543,-5.65796E-06
0.512390137,-5.63965E-06
0.50994873,-5.60913E-06
0.507507324,-5.58777E-06
0.505065918,-5.55725E-06
0.502624512,-5.53589E-06
0.500183105,-5.50842E-06
0.497741699,-5.48706E-06
0.495300293,-5.45654E-06
0.492858887,-5.43823E-06
0.49041748,-5.41382E-06
0.487976074,-5.39551E-06
0.485534668,-5.37415E-06
0.483093262,-5.35889E-06
0.480651855,-5.34363E-06
0.478210449,-5.32837E-06
0.475769043,-5.31311E-06
0.473327637,-5.29785E-06
0.47088623,-5.29175E-06
0.468444824,-5.27649E-06
0.466003418,-5.27039E-06
0.463562012,-5.25208E-06
0.461120605,-5.25208E-06
0.458679199,-5.23376E-06
0.456237793,-5.22766E-06
0.453796387,-5.21545E-06
0.45135498,-5.20935E-06
0.448913574,-5.19104E-06
0.446472168,-5.17883E-06
0.444030762,-5.16052E-06
0.441589355,-5.14526E-06
0.439147949,-5.12695E-06
0.436706543,-5.09644E-06
0.434265137,-5.08423E-06
0.43182373,-5.04761E-06
0.429382324,-5.0293E-06
0.426940918,-4.98962E-06
0.424499512,-4.95911E-06
0.422058105,-4.92249E-06
0.419616699,-4.88892E-06
0.417175293,-4.84314E-06
0.414733887,-4.80652E-06
0.41229248,-4.75769E-06
0.409851074,-4.71191E-06
0.407409668,-4.66614E-06
0.404968262,-4.61609E-06
0.402526855,-4.56635E-06
0.400085449,-4.51294E-06
0.397644043,-4.4635E-06
0.395202637,-4.40735E-06
0.39276123,-4.35699E-06
0.390319824,-4.30115E-06
0.387878418,-4.24713E-06
0.385437012,-4.18976E-06
0.382995605,-4.1391E-06
0.380554199,-4.08569E-06
0.378112793,-4.03107E-06
0.375671387,-3.9801E-06
0.37322998,-3.92517E-06
0.370788574,-3.87512E-06
0.368347168,-3.82263E-06
0.365905762,-3.77899E-06
0.363464355,-3.72345E-06
0.361022949,-3.68134E-06
0.358581543,-3.6261E-06
0.356140137,-3.58673E-06
0.35369873,-3.53729E-06
0.351257324,-3.49915E-06
0.348815918,-3.45367E-06
0.346374512,-3.41431E-06
0.343933105,-3.37036E-06
0.341491699,-3.3313E-06
0.339050293,-3.29346E-06
0.336608887,-3.25439E-06
0.33416748,-3.21686E-06
0.331726074,-3.17993E-06
0.329284668,-3.14789E-06
0.326843262,-3.10974E-06
0.324401855,-3.08136E-06
0.321960449,-3.04108E-06
0.319519043,-3.01788E-06
0.317077637,-2.97913E-06
0.31463623,-2.9541E-06
0.312194824,-2.92053E-06
0.309753418,-2.89734E-06
0.307312012,-2.86591E-06
0.304870605,-2.83844E-06
0.302429199,-2.81097E-06
0.299987793,-2.78351E-06
0.297546387,-2.75818E-06
0.29510498,-2.73163E-06
0.292663574,-2.71118E-06
0.290222168,-2.6825E-06
0.287780762,-2.66418E-06
0.285339355,-2.63367E-06
0.282897949,-2.61841E-06
0.280456543,-2.59399E-06
0.278015137,-2.57599E-06
0.27557373,-2.55341E-06
0.273132324,-2.53571E-06
0.270690918,-2.51465E-06
0.268249512,-2.49786E-06
0.265808105,-2.47803E-06
0.263366699,-2.45941E-06
0.260925293,-2.44598E-06
0.258483887,-2.42279E-06
0.25604248,-2.41211E-06
0.253601074,-2.39227E-06
0.251159668,-2.38251E-06
0.248718262,-2.3642E-06
0.246276855,-2.35474E-06
0.243835449,-2.33368E-06
0.241394043,-2.32483E-06
0.238952637,-2.30774E-06
0.23651123,-2.29736E-06
0.234069824,-2.28821E-06
0.231628418,-2.27417E-06
0.229187012,-2.26135E-06
0.226745605,-2.24792E-06
0.224304199,-2.24243E-06
0.221862793,-2.22504E-06
0.219421387,-2.2226E-06
0.21697998,-2.20947E-06
0.214538574,-2.20093E-06
0.212097168,-2.18719E-06
0.209655762,-2.1817E-06
0.207214355,-2.16766E-06
0.204772949,-2.16461E-06
0.202331543,-2.15271E-06
0.199890137,-2.14417E-06
0.19744873,-2.13623E-06
0.195007324,-2.12708E-06
0.192565918,-2.12463E-06
0.190124512,-2.10846E-06
0.187683105,-2.10907E-06
0.185241699,-2.09106E-06
0.182800293,-2.0929E-06
0.180358887,-2.07611E-06
0.17791748,-2.07794E-06
0.175476074,-2.06421E-06
0.173034668,-2.06238E-06
0.170593262,-2.05017E-06
0.168151855,-2.04742E-06
0.165710449,-2.04315E-06
0.163269043,-2.02972E-06
0.160827637,-2.03278E-06
0.15838623,-2.01721E-06
0.155944824,-2.01416E-06
0.153503418,-2.00073E-06
0.151062012,-1.99921E-06
0.148620605,-1.98944E-06
0.146179199,-1.98975E-06
0.143737793,-1.97571E-06
0.141296387,-1.97418E-06
0.13885498,-1.96533E-06
0.136413574,-1.9632E-06
0.133972168,-1.95648E-06
0.131530762,-1.94855E-06
0.129089355,-1.94641E-06
0.126647949,-1.93787E-06
0.124206543,-1.93573E-06
0.121765137,-1.92352E-06
0.11932373,-1.92535E-06
0.116882324,-1.91345E-06
0.114440918,-1.9162E-06
0.111999512,-1.90155E-06
0.109558105,-1.90491E-06
0.107116699,-1.89789E-06
0.104675293,-1.89545E-06
0.102233887,-1.88934E-06
0.09979248,-1.88782E-06
0.097351074,-1.88019E-06
0.094909668,-1.87653E-06
0.092468262,-1.88049E-06
0.090026855,-1.87683E-06
0.087585449,-1.87775E-06
0.085144043,-1.86188E-06
0.082702637,-1.87622E-06
0.08026123,-1.86707E-06
0.077819824,-1.87744E-06
0.075378418,-1.86646E-06
0.072937012,-1.87042E-06
0.070495605,-1.8631E-06
0.068054199,-1.86401E-06
0.065612793,-1.87378E-06
0.063171387,-1.88385E-06
0.06072998,-1.88416E-06
0.058288574,-1.87256E-06
0.055847168,-1.89484E-06
0.053405762,-1.87408E-06
0.050964355,-1.89758E-06
0.048522949,-1.87042E-06
0.046081543,-1.8924E-06
0.043640137,-1.87042E-06
0.04119873,-1.88904E-06
0.038757324,-1.85974E-06
0.036315918,-1.87347E-06
0.033874512,-1.86707E-06
0.031433105,-1.87592E-06
