V1,I1,V2,I2,V3,I3
0.544433594,2.9895E-06,0.544433594,2.56165E-06,0.544433594,2.03705E-06
0.541992188,2.96265E-06,0.541992188,2.53204E-06,0.541992188,2.00012E-06
0.539550781,2.93701E-06,0.539550781,2.50244E-06,0.539550781,1.96716E-06
0.537109375,2.91077E-06,0.537109375,2.47559E-06,0.537109375,1.9342E-06
0.534667969,2.88605E-06,0.534667969,2.44781E-06,0.534667969,1.90338E-06
0.532226563,2.86102E-06,0.532226563,2.42126E-06,0.532226563,1.87347E-06
0.529785156,2.83661E-06,0.529785156,2.39716E-06,0.529785156,1.84509E-06
0.52734375,2.8125E-06,0.52734375,2.37213E-06,0.52734375,1.81854E-06
0.524902344,2.78961E-06,0.524902344,2.34619E-06,0.524902344,1.7923E-06
0.522460938,2.76703E-06,0.522460938,2.32239E-06,0.522460938,1.76697E-06
0.520019531,2.74475E-06,0.520019531,2.2998E-06,0.520019531,1.74286E-06
0.517578125,2.72339E-06,0.517578125,2.27814E-06,0.517578125,1.71844E-06
0.515136719,2.70294E-06,0.515136719,2.25708E-06,0.515136719,1.69678E-06
0.512695313,2.6825E-06,0.512695313,2.23663E-06,0.512695313,1.67542E-06
0.510253906,2.66296E-06,0.510253906,2.21893E-06,0.510253906,1.65466E-06
0.5078125,2.64313E-06,0.5078125,2.1991E-06,0.5078125,1.63544E-06
0.505371094,2.62299E-06,0.505371094,2.18018E-06,0.505371094,1.6153E-06
0.502929688,2.60376E-06,0.502929688,2.16125E-06,0.502929688,1.5979E-06
0.500488281,2.58423E-06,0.500488281,2.14355E-06,0.500488281,1.5802E-06
0.498046875,2.565E-06,0.498046875,2.12616E-06,0.498046875,1.56219E-06
0.495605469,2.54608E-06,0.495605469,2.10968E-06,0.495605469,1.5451E-06
0.493164063,2.52777E-06,0.493164063,2.09137E-06,0.493164063,1.53015E-06
0.490722656,2.50824E-06,0.490722656,2.07367E-06,0.490722656,1.51337E-06
0.48828125,2.48993E-06,0.48828125,2.0575E-06,0.48828125,1.4975E-06
0.485839844,2.47131E-06,0.485839844,2.04071E-06,0.485839844,1.48285E-06
0.483398438,2.45422E-06,0.483398438,2.02362E-06,0.483398438,1.46698E-06
0.480957031,2.43652E-06,0.480957031,2.00714E-06,0.480957031,1.45203E-06
0.478515625,2.41943E-06,0.478515625,1.99219E-06,0.478515625,1.43646E-06
0.476074219,2.40265E-06,0.476074219,1.97723E-06,0.476074219,1.42334E-06
0.473632813,2.38556E-06,0.473632813,1.96259E-06,0.473632813,1.41052E-06
0.471191406,2.36877E-06,0.471191406,1.94763E-06,0.471191406,1.39801E-06
0.46875,2.35168E-06,0.46875,1.93298E-06,0.46875,1.3858E-06
0.466308594,2.33459E-06,0.466308594,1.91833E-06,0.466308594,1.37543E-06
0.463867188,2.3175E-06,0.463867188,1.9046E-06,0.463867188,1.36139E-06
0.461425781,2.30011E-06,0.461425781,1.88995E-06,0.461425781,1.34918E-06
0.458984375,2.28241E-06,0.458984375,1.87561E-06,0.458984375,1.33789E-06
0.456542969,2.26532E-06,0.456542969,1.86157E-06,0.456542969,1.3269E-06
0.454101563,2.24884E-06,0.454101563,1.84692E-06,0.454101563,1.31622E-06
0.451660156,2.23145E-06,0.451660156,1.83319E-06,0.451660156,1.30371E-06
0.44921875,2.21558E-06,0.44921875,1.81915E-06,0.44921875,1.29181E-06
0.446777344,2.19971E-06,0.446777344,1.80664E-06,0.446777344,1.28143E-06
0.444335938,2.18353E-06,0.444335938,1.79352E-06,0.444335938,1.27136E-06
0.441894531,2.16644E-06,0.441894531,1.7807E-06,0.441894531,1.25885E-06
0.439453125,2.15027E-06,0.439453125,1.7688E-06,0.439453125,1.24939E-06
0.437011719,2.13318E-06,0.437011719,1.75659E-06,0.437011719,1.23932E-06
