PFC_V,PFC_I,RHA_V,RHA_I,FDM_V,FDM_I
0.554199219,1.85883E-06,-0.153808594,3.77197E-06,0.3515625,1.9809E-06
0.551757813,1.84998E-06,-0.151367188,4.06403E-06,0.349121094,1.94336E-06
0.549316406,1.84052E-06,-0.148925781,4.34448E-06,0.346679688,1.90216E-06
0.546875,1.83197E-06,-0.146484375,4.60724E-06,0.344238281,1.85974E-06
0.544433594,1.82312E-06,-0.144042969,4.86145E-06,0.341796875,1.81244E-06
0.541992188,1.81396E-06,-0.141601563,5.09644E-06,0.339355469,1.76178E-06
0.539550781,1.80542E-06,-0.139160156,5.31616E-06,0.336914063,1.70685E-06
0.537109375,1.79718E-06,-0.13671875,5.51758E-06,0.334472656,1.64795E-06
0.534667969,1.78864E-06,-0.134277344,5.70068E-06,0.33203125,1.586E-06
0.532226563,1.7807E-06,-0.131835938,5.86548E-06,0.329589844,1.51886E-06
0.529785156,1.77307E-06,-0.129394531,6.00891E-06,0.327148438,1.44562E-06
0.52734375,1.76575E-06,-0.126953125,6.12488E-06,0.324707031,1.36871E-06
0.524902344,1.75781E-06,-0.124511719,6.22864E-06,0.322265625,1.28571E-06
0.522460938,1.7514E-06,-0.122070313,6.31104E-06,0.319824219,1.19781E-06
0.520019531,1.74469E-06,-0.119628906,6.37512E-06,0.317382813,1.1026E-06
0.517578125,1.7392E-06,-0.1171875,6.4209E-06,0.314941406,1.00037E-06
0.515136719,1.73279E-06,-0.114746094,6.44836E-06,0.3125,8.90808E-07
0.512695313,1.72607E-06,-0.112304688,6.46057E-06,0.310058594,7.73315E-07
0.510253906,1.71967E-06,-0.109863281,6.45752E-06,0.307617188,6.5033E-07
0.5078125,1.71356E-06,-0.107421875,6.43616E-06,0.305175781,5.2002E-07
0.505371094,1.70685E-06,-0.104980469,6.40869E-06,0.302734375,3.81348E-07
0.502929688,1.70074E-06,-0.102539063,6.36902E-06,0.300292969,2.37518E-07
0.500488281,1.69403E-06,-0.100097656,6.31714E-06,0.297851563,8.28247E-08
0.498046875,1.68793E-06,-0.09765625,6.2561E-06,0.295410156,-7.78809E-08
0.495605469,1.68182E-06,-0.095214844,6.19202E-06,0.29296875,-2.43652E-07
0.493164063,1.67542E-06,-0.092773438,6.12183E-06,0.290527344,-4.15649E-07
0.490722656,1.66962E-06,-0.090332031,6.04248E-06,0.288085938,-5.95093E-07
0.48828125,1.66473E-06,-0.087890625,5.96008E-06,0.285644531,-7.8064E-07
0.485839844,1.65955E-06,-0.085449219,5.87158E-06,0.283203125,-9.70154E-07
0.483398438,1.65466E-06,-0.083007813,5.78308E-06,0.280761719,-1.16394E-06
0.480957031,1.64948E-06,-0.080566406,5.69458E-06,0.278320313,-1.36261E-06
0.478515625,1.64337E-06,-0.078125,5.60303E-06,0.275878906,-1.56342E-06
0.476074219,1.63879E-06,-0.075683594,5.51147E-06,0.2734375,-1.76575E-06
0.473632813,1.633E-06,-0.073242188,5.41992E-06,0.270996094,-1.96991E-06
0.471191406,1.6275E-06,-0.070800781,5.32532E-06,0.268554688,-2.1698E-06
0.46875,1.62231E-06,-0.068359375,5.23376E-06,0.266113281,-2.36847E-06
0.466308594,1.61682E-06,-0.065917969,5.14526E-06,0.263671875,-2.56531E-06
0.463867188,1.61072E-06,-0.063476563,5.05676E-06,0.261230469,-2.75085E-06
0.461425781,1.60553E-06,-0.061035156,4.96826E-06,0.258789063,-2.93427E-06
0.458984375,1.60004E-06,-0.05859375,4.88251E-06,0.256347656,-3.11096E-06
0.456542969,1.59515E-06,-0.056152344,4.7995E-06,0.25390625,-3.27911E-06
0.454101563,1.59088E-06,-0.053710938,4.71893E-06,0.251464844,-3.43445E-06
0.451660156,1.5863E-06,-0.051269531,4.63989E-06,0.249023438,-3.58307E-06
0.44921875,1.58112E-06,-0.048828125,4.56207E-06,0.246582031,-3.7207E-06
0.446777344,1.57654E-06,-0.046386719,4.487E-06,0.244140625,-3.84949E-06
0.444335938,1.57227E-06,-0.043945313,4.41437E-06,0.241699219,-3.96301E-06
0.441894531,1.56769E-06,-0.041503906,4.34326E-06,0.239257813,-4.06738E-06
0.439453125,1.5625E-06,-0.0390625,4.2746E-06,0.236816406,-4.15985E-06
0.437011719,1.55731E-06,-0.036621094,4.20776E-06,0.234375,-4.23859E-06
