z1,I1,z2,I2,z3,I3,z4,I4,z5,I5
7.37E-08,1.22E-11,9.27E-08,1.53E-11,9.05E-08,9.31E-17,3.66E-10,1.16E-10,4.39E-08,6.10E-11
7.37E-08,1.53E-11,9.27E-08,6.10E-12,9.05E-08,6.10E-12,3.72E-10,1.13E-10,4.39E-08,6.10E-11
7.37E-08,1.53E-11,9.27E-08,3.05E-12,9.05E-08,1.22E-11,3.78E-10,1.10E-10,4.39E-08,6.41E-11
7.37E-08,1.83E-11,9.27E-08,2.14E-11,9.05E-08,-3.05E-12,3.84E-10,1.07E-10,4.39E-08,5.80E-11
7.37E-08,6.10E-12,9.27E-08,2.14E-11,9.05E-08,2.14E-11,3.90E-10,1.25E-10,4.39E-08,6.10E-11
7.37E-08,1.83E-11,9.27E-08,1.22E-11,9.05E-08,9.31E-17,3.96E-10,1.25E-10,4.39E-08,2.44E-11
7.37E-08,9.16E-12,9.27E-08,1.22E-11,9.05E-08,1.53E-11,4.02E-10,9.77E-11,4.40E-08,4.27E-11
7.37E-08,1.53E-11,9.27E-08,2.14E-11,9.06E-08,9.31E-17,4.08E-10,1.07E-10,4.40E-08,4.27E-11
7.38E-08,9.16E-12,9.27E-08,2.14E-11,9.06E-08,1.83E-11,4.13E-10,1.10E-10,4.40E-08,3.66E-11
7.38E-08,2.14E-11,9.27E-08,1.53E-11,9.06E-08,3.05E-12,4.19E-10,1.04E-10,4.40E-08,3.66E-11
7.38E-08,2.75E-11,9.27E-08,6.10E-12,9.06E-08,1.53E-11,4.25E-10,1.37E-10,4.40E-08,4.58E-11
7.38E-08,2.44E-11,9.27E-08,1.83E-11,9.06E-08,3.05E-12,4.31E-10,1.10E-10,4.40E-08,4.58E-11
7.38E-08,6.10E-12,9.27E-08,1.83E-11,9.06E-08,1.22E-11,4.37E-10,1.16E-10,4.40E-08,4.88E-11
7.38E-08,6.10E-12,9.27E-08,1.83E-11,9.06E-08,9.16E-12,4.43E-10,7.93E-11,4.40E-08,3.66E-11
7.38E-08,3.05E-11,9.27E-08,1.83E-11,9.06E-08,9.31E-17,4.49E-10,1.07E-10,4.40E-08,6.10E-11
7.38E-08,9.16E-12,9.27E-08,6.10E-12,9.06E-08,9.31E-17,4.55E-10,1.13E-10,4.40E-08,6.71E-11
7.38E-08,2.14E-11,9.28E-08,1.83E-11,9.06E-08,6.10E-12,4.61E-10,8.85E-11,4.40E-08,7.32E-11
7.38E-08,1.22E-11,9.28E-08,1.53E-11,9.06E-08,1.22E-11,4.66E-10,1.19E-10,4.40E-08,5.19E-11
7.38E-08,1.83E-11,9.28E-08,2.44E-11,9.06E-08,6.10E-12,4.72E-10,1.28E-10,4.40E-08,7.02E-11
7.38E-08,2.14E-11,9.28E-08,1.22E-11,9.06E-08,-9.16E-12,4.78E-10,1.34E-10,4.40E-08,7.93E-11
7.38E-08,1.53E-11,9.28E-08,2.75E-11,9.06E-08,6.10E-12,4.84E-10,1.40E-10,4.40E-08,7.02E-11
7.38E-08,9.31E-17,9.28E-08,3.05E-11,9.06E-08,6.10E-12,4.90E-10,1.43E-10,4.40E-08,7.93E-11
7.38E-08,2.44E-11,9.28E-08,3.05E-11,9.06E-08,9.31E-17,4.96E-10,1.56E-10,4.40E-08,9.16E-11
7.38E-08,1.83E-11,9.28E-08,1.53E-11,9.06E-08,-3.05E-12,5.02E-10,1.37E-10,4.41E-08,1.04E-10
