V1,I1,V2,I2,I3,I4,I5
1.72E-01,1.80E-10,1.72E+00,1.86E-09,8.50E-09,1.38E-08,2.26E-10
1.73E-01,1.83E-10,1.73E+00,1.99E-09,8.83E-09,1.43E-08,1.89E-10
1.75E-01,1.77E-10,1.75E+00,2.08E-09,8.98E-09,1.44E-08,1.77E-10
1.76E-01,1.68E-10,1.76E+00,1.64E-09,1.01E-08,1.59E-08,1.59E-10
1.78E-01,1.80E-10,1.78E+00,1.38E-09,9.61E-09,1.60E-08,1.59E-10
1.80E-01,2.41E-10,1.80E+00,1.68E-09,9.74E-09,1.56E-08,1.74E-10
1.81E-01,2.11E-10,1.81E+00,1.54E-09,9.49E-09,1.57E-08,1.59E-10
1.83E-01,1.92E-10,1.83E+00,1.43E-09,9.20E-09,1.61E-08,2.99E-10
1.84E-01,1.89E-10,1.84E+00,1.51E-09,9.66E-09,1.69E-08,2.56E-10
1.86E-01,1.80E-10,1.86E+00,2.39E-09,9.07E-09,1.58E-08,2.38E-10
1.87E-01,1.71E-10,1.87E+00,2.79E-09,9.39E-09,1.59E-08,1.95E-10
1.89E-01,1.62E-10,1.89E+00,4.57E-09,9.56E-09,1.58E-08,1.62E-10
1.91E-01,1.68E-10,1.91E+00,5.20E-09,1.06E-08,1.41E-08,1.65E-10
1.92E-01,2.20E-10,1.92E+00,2.09E-09,1.05E-08,1.47E-08,1.65E-10
1.94E-01,1.83E-10,1.94E+00,1.93E-09,1.15E-08,1.29E-08,1.71E-10
1.95E-01,1.95E-10,1.95E+00,1.37E-09,1.83E-08,1.50E-08,1.83E-10
1.97E-01,1.80E-10,1.97E+00,1.50E-09,1.12E-08,1.53E-08,2.81E-10
1.98E-01,1.95E-10,1.98E+00,2.73E-09,1.69E-08,1.41E-08,2.53E-10
2.00E-01,1.89E-10,2.00E+00,2.04E-09,2.31E-08,1.43E-08,2.29E-10
